customer_id,ProductName
3940,AirPods Pro
3631,iPhone 15
8199,iPad Pro
6804,MacBook Pro
7047,MacBook Pro
9082,iPhone 15
8392,MacBook Pro
1338,iPhone 15
7375,AirPods Pro
9927,iPad Pro
8345,iPad Pro
9050,MacBook Pro
2841,iPad Pro
5619,iPhone 15
3662,Apple Watch
2550,iPhone 15
7109,Apple Watch
5637,MacBook Pro
7348,MacBook Pro
2417,iPhone 15
7517,iPhone 15
8327,Apple Watch
7685,AirPods Pro
7871,MacBook Pro
3914,iPhone 15
9105,MacBook Pro
2047,MacBook Pro
7377,Apple Watch
1934,MacBook Pro
9599,AirPods Pro
9852,Apple Watch
2163,iPad Pro
8195,iPad Pro
9704,Apple Watch
3803,MacBook Pro
4807,Apple Watch
2680,iPad Pro
6286,Apple Watch
1699,iPad Pro
7750,Apple Watch
8079,Apple Watch
2615,Apple Watch
5209,Apple Watch
3075,AirPods Pro
1690,iPad Pro
4205,Apple Watch
5185,Apple Watch
6872,AirPods Pro
5977,iPad Pro
8041,iPhone 15
9070,AirPods Pro
5224,Apple Watch
4790,iPhone 15
7403,AirPods Pro
8719,Apple Watch
6419,Apple Watch
2271,Apple Watch
8906,iPad Pro
4600,AirPods Pro
6242,MacBook Pro
6062,AirPods Pro
6881,AirPods Pro
9042,iPad Pro
6284,Apple Watch
9664,iPad Pro
8420,Apple Watch
1925,MacBook Pro
8087,iPhone 15
9683,Apple Watch
5182,Apple Watch
2967,iPhone 15
8579,iPhone 15
1375,AirPods Pro
7349,MacBook Pro
7757,iPad Pro
3934,MacBook Pro
5279,AirPods Pro
9398,Apple Watch
4683,iPad Pro
6897,AirPods Pro
1354,iPhone 15
6143,AirPods Pro
9089,iPhone 15
5926,iPad Pro
4980,MacBook Pro
5135,Apple Watch
1421,MacBook Pro
8564,iPhone 15
2330,iPhone 15
9750,MacBook Pro
8518,iPhone 15
1033,iPad Pro
9272,AirPods Pro
5716,iPad Pro
1527,iPhone 15
7555,Apple Watch
7031,MacBook Pro
8169,MacBook Pro
5468,AirPods Pro
9541,MacBook Pro
3088,Apple Watch
1567,Apple Watch
4948,AirPods Pro
7077,AirPods Pro
1642,AirPods Pro
9216,Apple Watch
6948,AirPods Pro
2167,Apple Watch
2060,iPad Pro
2405,Apple Watch
1327,Apple Watch
2238,Apple Watch
4556,AirPods Pro
9863,iPhone 15
8605,iPad Pro
5350,MacBook Pro
4918,iPad Pro
8541,Apple Watch
1875,iPad Pro
6969,Apple Watch
1702,Apple Watch
2756,AirPods Pro
1575,iPhone 15
9600,iPhone 15
8693,iPhone 15
6782,Apple Watch
2808,Apple Watch
9210,iPad Pro
9617,MacBook Pro
2036,Apple Watch
7526,iPad Pro
8809,iPhone 15
5322,iPad Pro
2865,MacBook Pro
5888,iPhone 15
9848,Apple Watch
7917,iPhone 15
5977,MacBook Pro
4642,AirPods Pro
5607,Apple Watch
1041,iPad Pro
7215,iPad Pro
3280,Apple Watch
2438,AirPods Pro
8099,MacBook Pro
9749,Apple Watch
5674,AirPods Pro
9791,MacBook Pro
5498,iPhone 15
2524,Apple Watch
8389,iPhone 15
3531,AirPods Pro
2045,MacBook Pro
7917,Apple Watch
2635,iPhone 15
1520,AirPods Pro
2683,MacBook Pro
2128,iPhone 15
7739,iPad Pro
2341,AirPods Pro
2756,iPhone 15
5681,iPhone 15
1006,MacBook Pro
8823,iPhone 15
8270,MacBook Pro
1436,iPad Pro
7706,iPad Pro
7618,iPad Pro
1249,Apple Watch
3414,Apple Watch
9720,iPad Pro
4818,Apple Watch
9755,AirPods Pro
5432,iPad Pro
9838,iPad Pro
2647,iPad Pro
7387,MacBook Pro
3774,Apple Watch
9988,MacBook Pro
6777,Apple Watch
1599,Apple Watch
9341,Apple Watch
4099,iPhone 15
1561,AirPods Pro
7589,iPhone 15
2634,iPad Pro
4233,iPad Pro
8522,iPhone 15
6102,MacBook Pro
7745,Apple Watch
9858,MacBook Pro
4727,MacBook Pro
7583,AirPods Pro
7352,AirPods Pro
3212,Apple Watch
1401,iPad Pro
5522,Apple Watch
6999,MacBook Pro
3672,AirPods Pro
5704,iPad Pro
9836,AirPods Pro
1793,Apple Watch
1661,iPad Pro
2009,iPhone 15
1759,Apple Watch
1497,MacBook Pro
3828,MacBook Pro
5217,AirPods Pro
8012,MacBook Pro
3872,MacBook Pro
7181,AirPods Pro
9900,iPhone 15
9569,iPad Pro
2548,iPad Pro
7168,iPhone 15
7301,iPad Pro
3812,iPhone 15
8594,iPad Pro
4891,iPhone 15
9869,iPad Pro
8691,iPad Pro
7285,iPhone 15
5061,iPad Pro
8147,MacBook Pro
4743,MacBook Pro
3103,iPad Pro
5869,MacBook Pro
7357,iPhone 15
7631,iPhone 15
3782,iPad Pro
3315,Apple Watch
5756,AirPods Pro
4194,MacBook Pro
7312,AirPods Pro
3242,MacBook Pro
9714,iPad Pro
3871,MacBook Pro
1012,iPad Pro
1162,Apple Watch
2095,Apple Watch
4896,iPhone 15
4654,MacBook Pro
8659,iPhone 15
4213,MacBook Pro
4001,MacBook Pro
8097,MacBook Pro
3082,AirPods Pro
2089,iPhone 15
5574,AirPods Pro
6836,AirPods Pro
9828,MacBook Pro
7752,iPhone 15
6742,Apple Watch
7757,AirPods Pro
5433,iPad Pro
3801,iPhone 15
4175,MacBook Pro
7947,iPad Pro
3574,AirPods Pro
2466,iPad Pro
6640,iPad Pro
9997,MacBook Pro
5238,AirPods Pro
5999,iPad Pro
6324,MacBook Pro
8848,Apple Watch
3213,iPad Pro
5669,AirPods Pro
7526,AirPods Pro
5199,iPad Pro
1278,MacBook Pro
4216,Apple Watch
7428,iPad Pro
4530,AirPods Pro
1329,iPad Pro
3043,iPad Pro
7765,MacBook Pro
1894,iPhone 15
2015,iPad Pro
4661,iPad Pro
7472,iPhone 15
3717,AirPods Pro
7792,MacBook Pro
6565,AirPods Pro
2243,Apple Watch
2571,iPad Pro
2724,AirPods Pro
1037,iPhone 15
6241,iPhone 15
7302,MacBook Pro
8825,AirPods Pro
4634,Apple Watch
8052,iPhone 15
2811,MacBook Pro
4496,iPad Pro
4297,AirPods Pro
9612,iPhone 15
2644,iPad Pro
1802,iPhone 15
9147,iPad Pro
5943,MacBook Pro
6041,iPhone 15
3332,iPad Pro
4850,AirPods Pro
2594,AirPods Pro
7910,Apple Watch
8864,iPhone 15
9272,iPad Pro
1513,iPad Pro
2278,iPad Pro
2228,iPhone 15
7764,iPad Pro
6166,Apple Watch
8633,iPad Pro
8864,MacBook Pro
5428,Apple Watch
2774,iPad Pro
6084,iPhone 15
5905,Apple Watch
1404,MacBook Pro
4364,iPhone 15
9627,Apple Watch
7678,MacBook Pro
9597,Apple Watch
6652,MacBook Pro
8703,AirPods Pro
8973,MacBook Pro
6583,iPad Pro
4762,Apple Watch
6863,iPad Pro
2358,AirPods Pro
8125,iPad Pro
5514,iPad Pro
9062,MacBook Pro
8991,AirPods Pro
3607,Apple Watch
1497,iPhone 15
2885,MacBook Pro
4923,iPhone 15
9859,AirPods Pro
6787,MacBook Pro
6232,iPad Pro
4912,Apple Watch
2218,MacBook Pro
7388,iPhone 15
1101,iPhone 15
3981,MacBook Pro
9391,iPhone 15
1913,iPad Pro
7741,iPad Pro
3132,AirPods Pro
9313,AirPods Pro
4746,iPad Pro
3754,Apple Watch
5044,iPad Pro
7443,AirPods Pro
8552,AirPods Pro
2240,AirPods Pro
8341,MacBook Pro
9592,iPhone 15
2967,iPhone 15
5487,MacBook Pro
7367,Apple Watch
9707,iPad Pro
8415,iPad Pro
7658,iPad Pro
3222,AirPods Pro
4391,AirPods Pro
9612,AirPods Pro
7217,MacBook Pro
3192,AirPods Pro
1332,MacBook Pro
2848,Apple Watch
3802,MacBook Pro
9906,MacBook Pro
1784,AirPods Pro
4704,Apple Watch
7465,AirPods Pro
7778,MacBook Pro
6314,iPad Pro
5510,iPad Pro
